id,movie_title,overview,director,actor_1,actor_2,actor_3,genres,popularity,year,vote_average,vote_count,describe
331695.0,shaadi ka laddoo,"Shomu and his wife Meenu are happily married with two kids. Shomu decides to travel to Britain for business reasons, as well as to meet his old friend, Ravi Kapoor.",Raj Kaushal,Sanjay Suri,Mandira Bedi,Divya Dutta,Comedy,0.883,2004,,,Sanjay Suri Mandira Bedi Divya Dutta Raj Kaushal Comedy 0.883
220284.0,shart: the challenge,"Karan's girlfriend challenges him to woo any woman and make her marry him. He chooses a woman named Saryu, only to find out that she has an overprotective brother.",Puri Jagannadh,Tusshar Kapoor,Gracy Singh,Amrita Arora,Romance,0.6,2004,,,Tusshar Kapoor Gracy Singh Amrita Arora Puri Jagannadh Romance 0.6
408461.0,sheen,"The government's insensitive and partial attitude towards its people is exposed, when it ignores the brutal murder of a man massacred by religious fanatics in Kashmir.",Ashok Pandit,Tarun Arora,Raj Babbar,Anoop Soni,Drama,0.6,2004,,,Tarun Arora Raj Babbar Anoop Soni Ashok Pandit Drama 0.6
15774.0,swades,"NASA employee Mohan Bhargav comes to India to take his grandmother along with him at his home abroad. During his stay at his native place, he comes across various social issues faced by the villagers and decides to take a stand for them, to improve their quality of life.",Ashutosh Gowarikar,Shahrukh Khan,Gayatri Joshi,Kishori Ballal,Drama,7.901,2004,7.4,239.0,Shahrukh Khan Gayatri Joshi Kishori Ballal Ashutosh Gowarikar Drama 7.901
277229.0,taarzan: the wonder car,"Taarzan: The Wonder Car is a 2004 romantic thriller film directed by Abbas Burmawalla and Mustan Burmawalla. The film stars Vatsal Seth, Ajay Devgn and Ayesha Takia in the lead roles, while Farida Jalal, Shakti Kapoor, Amrish Puri, Pankaj Dheer, Sadashiv Amrapurkar, Gulshan Grover and Mukesh Tiwari play supporting roles. The film is inspired by the 1983 horror, Christine.",Abbas Mustan,Vatsal Seth,Ayesha Takia,Pankaj Dheer,Action Romance,2.246,2004,5.8,22.0,Vatsal Seth Ayesha Takia Pankaj Dheer Abbas Mustan Action Romance 2.246
253707.0,tumsa nahin dekha: a love story,"Charming and continually drunk millionaire sees a woman on the street and falls madly in love with her, she works as a striptease dancer and has a mentally handicapped brother. They fall in love, but he unfortunately has to marry someone else.",Anurag Basu,Emraan Hashmi,Diya Mirza,unknown,Music Romance,1.271,2004,6.0,4.0,Emraan Hashmi Diya Mirza unknown Anurag Basu Music Romance 1.271
4251.0,veer-zaara,"Squadron Leader Veer Pratap Singh, a pilot in the Indian air force, rescues the stranded Zaara, a woman from Pakistan, following a bus accident, and their lives are forever bound.",Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukherji,Drama Romance,7.702,2004,7.4,202.0,Shah Rukh Khan Preity Zinta Rani Mukherji Yash Chopra Drama Romance 7.702
541411.0,wajahh: a reason to kill,"After Trishna marries her sweetheart, Dr. Aditya Bhargava, she finds out that he used to love Ishita Singhania, the only daughter of a multi-millionaire. She also finds out that her",Gautama Adhikari,Arbaaz Khan,Shamita Shetty,Gracy Singh,Thriller,0.6,2004,10.0,2.0,Arbaaz Khan Shamita Shetty Gracy Singh Gautama Adhikari Thriller 0.6
590350.0,woh,"Chintu Tyagi is an ordinary, middle-class man who finds himself torn between his wife and another woman.",Raj N. Sippy,Priyanshu Chatterjee,Cleo Issacs,Shahbaz Khan,Comedy Romance,2.801,2004,6.8,21.0,Priyanshu Chatterjee Cleo Issacs Shahbaz Khan Raj N. Sippy Comedy Romance 2.801
161175.0,yeh lamhe judaai ke,A successful singer and his childhood friends become entangled in deception and treachery.,Birendra Nath Tiwary,Shahrukh Khan,Raveena Tandon,Mohnish Bahl,Drama Romance Mystery,1.014,2004,6.8,5.0,Shahrukh Khan Raveena Tandon Mohnish Bahl Birendra Nath Tiwary Drama Romance Mystery 1.014
43410.0,yuva,"Michael, Arjun and Lallan, three men from three different strata of society, cross paths one morning in Calcutta and change one another's lives forever.",Mani Ratnam,Ajay Devgn,Abhishek Bachchan,Vivek Oberoi,Action Crime,4.015,2004,6.4,39.0,Ajay Devgn Abhishek Bachchan Vivek Oberoi Mani Ratnam Action Crime 4.015
49496.0,aashiq banaya aapne,"An introvert is unable to express his feelings to the girl he loves. His friend proposes to her and she accepts, but leaves him when she discovers he is a flirt; however, destiny has other plans.",Aditya Datt,Emraan Hashmi,Tanushree Dutta,Navin Nischol,Drama Thriller Romance,2.009,2005,4.3,13.0,Emraan Hashmi Tanushree Dutta Navin Nischol Aditya Datt Drama Thriller Romance 2.009
418655.0,anjaane,"Laxmi finds an abandoned baby at a temple and decides to keep him. When her husband, Shankar, returns from jail, they name the child Ramu. While Laxmi wants him to go to school, study and become someone important, Shankar wants him to gamble, partner him in bootlegging and smuggling. Ramu is unable to fit in school and decides to work with his dad. Thus Ramu grows up accepting crime as his career. Then a young woman named Mala enters his life, and both fall in love with each other. When Mala finds out about Ramu's career, she makes him promise that he will go straight. He does go straight, gets a job, and when he is laid off he takes to helping Dhondu catch fish. Then Ramu's world gets turned upside when Inspector Hemant, while apprehending Shankar, guns down Laxmi. An enraged Ramu decides that he must kill Hemant at any cost. Watch what impact this will have on Hemant's mom, his dad, and Mala herself as she watches Ramu descent into the very hell that she had tried to redeem him from.",Harry W. Fernandes,Manisha Koirala,Sanjay Kapoor,unknown,Drama,0.6,2005,10.0,1.0,Manisha Koirala Sanjay Kapoor unknown Harry W. Fernandes Drama 0.6
